QQ/HH: -0.0 +3.945 -3.963 
QQ: -0.0 +3.945 -3.963 
LL/HH: -0.0 +8.895 -4.543 
LL: -0.0 +8.895 -4.543 
combination: -0.0 +3.477 -3.498 

# one percent bkg
QQ/HH: -0.0 +3.926 -3.944 
QQ: -0.0 +3.926 -3.944 
LL/HH: 0.0 +7.415 -7.391 
LL: 0.0 +7.415 -7.391 
combination: -0.0 +3.465 -3.476 
