QQ/LL: 0.0 +13.9 -14.437 
QQ/LH: -0.0 +9.483 -7.269 
QQ/HH: -0.0 +3.945 -3.963 
QQ: -0.0 +3.459 -3.402 
LL/LL: -0.0 +26.643 -27.405 
LL/LH: 0.0 +13.499 -9.0 
LL/HH: -0.0 +8.895 -4.543 
LL: -0.0 +5.989 -5.988 
combination: -0.0 +2.985 -2.952 

# one percent bkg

QQ/LL: 0.0 +13.88 -14.429 
QQ/LH: -0.0 +9.073 -7.193 
QQ/HH: -0.0 +3.926 -3.944 
QQ: 0.0 +3.441 -3.392 
LL/LL: 0.0 +26.556 -27.352 
LL/LH: 0.0 +13.499 -9.0 
LL/HH: 0.0 +7.415 -7.391 
LL: 0.0 +5.984 -5.959 
combination: -0.0 +2.978 -2.949 
